iter	Logloss	AUC	Precision	Recall
0	0.5103760021	0.7262839973	1	0.0005422993492
1	0.392333213	0.7486974895	1	0
2	0.3011491662	0.765868634	1	0
3	0.2406358534	0.7744079828	1	0
4	0.1966010237	0.7876868248	1	0
5	0.166408256	0.7874343991	1	0
6	0.1457350941	0.7957472503	1	0.0005422993492
7	0.1294319045	0.8015130758	1	0
8	0.1190882606	0.7973687649	1	0.0005422993492
9	0.1102289453	0.8002142906	1	0.0005422993492
10	0.1030574713	0.8089677095	1	0.0005422993492
11	0.09844368354	0.8089218438	1	0.001084598698
12	0.09378028342	0.8164209127	1	0.001084598698
13	0.09091788167	0.8176431656	1	0.001084598698
14	0.0887808362	0.8200867176	1	0.001084598698
15	0.08713550668	0.8225411773	1	0.0005422993492
16	0.08598943978	0.8221869469	1	0.0005422993492
17	0.08489254448	0.8243789375	1	0.0005422993492
18	0.083911526	0.8244148493	1	0.0005422993492
19	0.08342080982	0.8245907426	1	0.0005422993492
20	0.08267794678	0.8256348968	1	0.0005422993492
21	0.08222016933	0.8257062435	1	0.0005422993492
22	0.08168976327	0.8286629021	1	0.0005422993492
23	0.08107051185	0.8330107927	0.5	0.0005422993492
24	0.08074520423	0.8329124451	0.6666666667	0.001084598698
25	0.0804307221	0.8330800831	0.75	0.001626898048
26	0.08023374547	0.833450973	0.75	0.001626898048
27	0.08007216937	0.8338006437	0.8	0.002169197397
28	0.07966201548	0.8358071446	0.8333333333	0.002711496746
29	0.07939881737	0.8357102275	0.8571428571	0.003253796095
30	0.07936007888	0.8357580304	0.8333333333	0.002711496746
31	0.07927220105	0.8360088468	0.8571428571	0.003253796095
32	0.07921062368	0.8362340033	0.875	0.003796095445
33	0.07911639783	0.8364890218	0.9	0.004880694143
34	0.07908729693	0.8365237713	0.8888888889	0.004338394794
35	0.07877083676	0.8379320502	0.8461538462	0.005965292842
36	0.07865152523	0.8382508159	0.9166666667	0.005965292842
37	0.07854228129	0.8382062614	0.9333333333	0.007592190889
38	0.07845865518	0.8386879861	0.8888888889	0.008676789588
39	0.0783710031	0.8388249576	0.9	0.009761388286
40	0.07830551802	0.8386585712	0.8947368421	0.009219088937
41	0.07824296238	0.8392575085	0.9047619048	0.01030368764
42	0.0781598469	0.8395728469	0.9090909091	0.01084598698
43	0.07809454995	0.8397902548	0.9090909091	0.01084598698
44	0.07800037785	0.8402013779	0.9130434783	0.01138828633
45	0.07794140204	0.8402114809	0.92	0.01247288503
46	0.07783785573	0.8406318426	0.9230769231	0.01301518438
47	0.0778254822	0.8407091498	0.9230769231	0.01301518438
48	0.07779462902	0.8409124017	0.9230769231	0.01301518438
49	0.07775799758	0.8411690295	0.9230769231	0.01301518438
50	0.077737728	0.8412492275	0.9230769231	0.01301518438
51	0.0775536194	0.8421952128	0.9285714286	0.01409978308
52	0.0775335917	0.8422950804	0.9310344828	0.01464208243
53	0.07751425202	0.8423812389	0.935483871	0.01572668113
54	0.07717633975	0.8447132707	0.935483871	0.01572668113
55	0.07713099524	0.8449944258	0.9375	0.01626898048
56	0.07708705901	0.8452794552	0.9411764706	0.01735357918
57	0.07700472292	0.8454424739	0.9459459459	0.01898047722
58	0.07688805058	0.8459585011	0.9473684211	0.01952277657
59	0.07682868775	0.8463659286	0.9473684211	0.01952277657
60	0.07667374993	0.8472719491	0.9487179487	0.02006507592
61	0.07660027742	0.8474518955	0.9487179487	0.02006507592
62	0.07643802405	0.8485703766	0.95	0.02060737527
63	0.07641687833	0.8486713469	0.9512195122	0.02114967462
64	0.07635240377	0.8489671946	0.9512195122	0.02114967462
65	0.07612756251	0.8498417735	0.9545454545	0.02277657267
66	0.07603735725	0.8501481116	0.9574468085	0.02440347072
67	0.07599784475	0.8502465189	0.9583333333	0.02494577007
68	0.0759518391	0.850466907	0.9574468085	0.02440347072
69	0.07592350147	0.8506875336	0.9583333333	0.02494577007
70	0.07589122925	0.8507285416	0.9583333333	0.02494577007
71	0.0758239005	0.8509143889	0.9583333333	0.02494577007
72	0.07580822128	0.8509746492	0.96	0.02603036876
73	0.07578714543	0.8510168493	0.96	0.02603036876
74	0.07575617399	0.8510014713	0.9607843137	0.02657266811
75	0.07568769497	0.8511927128	0.9622641509	0.02765726681
76	0.07567623521	0.8512304127	0.9622641509	0.02765726681
77	0.07556278793	0.8517518044	0.9622641509	0.02765726681
78	0.07545613481	0.8524772227	0.962962963	0.02819956616
79	0.07541205345	0.852638185	0.9636363636	0.02874186551
80	0.07537744843	0.852650553	0.9649122807	0.02982646421
81	0.07535238425	0.8527165949	0.9661016949	0.03091106291
82	0.07533613526	0.852800101	0.9661016949	0.03091106291
83	0.07527468152	0.8530273438	0.9666666667	0.03145336226
84	0.07514420586	0.8532602489	0.9705882353	0.03579175705
85	0.07510630589	0.8533887565	0.9705882353	0.03579175705
86	0.07506873381	0.853531599	0.9705882353	0.03579175705
87	0.07500032466	0.8538224101	0.9718309859	0.0374186551
88	0.07498928416	0.8538849354	0.9710144928	0.0363340564
89	0.07496719242	0.8540579677	0.9705882353	0.03579175705
90	0.0749492879	0.8541313112	0.9701492537	0.0352494577
91	0.07494296675	0.8541294038	0.9705882353	0.03579175705
92	0.07487412222	0.8542725146	0.9714285714	0.03687635575
93	0.07483203503	0.8544636369	0.9714285714	0.03687635575
94	0.07472584954	0.8549799323	0.9577464789	0.03687635575
95	0.07456823491	0.855532378	0.9583333333	0.0374186551
96	0.07455495836	0.8555443287	0.9583333333	0.0374186551
97	0.07447328879	0.8557245433	0.9594594595	0.0385032538
98	0.07446797818	0.8557418585	0.9605263158	0.03958785249
99	0.07441661353	0.8558279872	0.9615384615	0.04067245119
100	0.07435497703	0.8559325635	0.9615384615	0.04067245119
101	0.07428140777	0.8560354114	0.962962963	0.04229934924
102	0.07424653937	0.8561192155	0.9634146341	0.04284164859
103	0.07421719659	0.8563006818	0.9642857143	0.04392624729
104	0.07421583669	0.8563015163	0.9642857143	0.04392624729
105	0.07421162259	0.8562954962	0.9642857143	0.04392624729
106	0.074201856	0.856354028	0.9642857143	0.04392624729
107	0.07418436536	0.8563709855	0.9647058824	0.04446854664
108	0.07413161393	0.8566297889	0.9651162791	0.04501084599
109	0.07407254137	0.8567540944	0.9651162791	0.04501084599
110	0.07400350333	0.8571286201	0.9647058824	0.04446854664
111	0.07399002791	0.8571891189	0.9651162791	0.04501084599
112	0.07396901656	0.8572148979	0.9659090909	0.04609544469
113	0.07395879309	0.8572288454	0.9662921348	0.04663774403
114	0.07390101055	0.8573747575	0.9659090909	0.04609544469
115	0.073887476	0.8573586643	0.9666666667	0.04718004338
116	0.07384304526	0.8575346172	0.9662921348	0.04663774403
117	0.07383566522	0.8575835526	0.9666666667	0.04718004338
118	0.0737707069	0.8578945398	0.9666666667	0.04718004338
119	0.0737373704	0.857961148	0.967032967	0.04772234273
120	0.07369132713	0.8581751883	0.967032967	0.04772234273
121	0.07352876201	0.8587092161	0.9684210526	0.04989154013
122	0.07352283325	0.8587954938	0.9684210526	0.04989154013
123	0.0734858578	0.8588654101	0.9684210526	0.04989154013
124	0.07346130426	0.8589365482	0.9684210526	0.04989154013
125	0.07339507741	0.8591825366	0.9690721649	0.05097613883
126	0.07335481238	0.8592298627	0.9789473684	0.05043383948
127	0.07321886486	0.8596650958	0.9696969697	0.05206073753
128	0.07312828334	0.8599379063	0.9705882353	0.05368763557
129	0.073096425	0.8598672152	0.9702970297	0.05314533623
130	0.07307931062	0.859942019	0.9611650485	0.05368763557
131	0.07292482968	0.8603646457	0.9708737864	0.05422993492
132	0.07288080208	0.8606088758	0.9711538462	0.05477223427
133	0.07286105389	0.8607081175	0.9716981132	0.05585683297
134	0.0727753046	0.8610121906	0.9714285714	0.05531453362
135	0.072731664	0.8612578213	0.9716981132	0.05585683297
136	0.07271145355	0.8612916768	0.9716981132	0.05585683297
137	0.07267940709	0.8615094721	0.9716981132	0.05585683297
138	0.07267155942	0.8615092337	0.9716981132	0.05585683297
139	0.07254374982	0.8617503345	0.9663865546	0.06236442516
140	0.07248950949	0.8619475067	0.9663865546	0.06236442516
141	0.07248618766	0.8619638383	0.9583333333	0.06236442516
142	0.07245019586	0.8621238172	0.958677686	0.06290672451
143	0.07244042389	0.8621787131	0.958677686	0.06290672451
144	0.07242117559	0.8622128665	0.9590163934	0.06344902386
145	0.07241337629	0.8622083962	0.96	0.06507592191
146	0.07240870531	0.8622144163	0.9677419355	0.06507592191
147	0.0724027873	0.8622072935	0.9677419355	0.06507592191
148	0.072360985	0.8624016643	0.9682539683	0.06616052061
149	0.07226467898	0.8627362251	0.9682539683	0.06616052061
150	0.0722564228	0.8627570271	0.9682539683	0.06616052061
151	0.07221416898	0.8629796207	0.9618320611	0.068329718
152	0.07208115089	0.8635544479	0.9692307692	0.068329718
153	0.0720309849	0.8638118804	0.9696969697	0.0694143167
154	0.07198636603	0.863973856	0.969924812	0.06995661605
155	0.07195706625	0.8640015125	0.9703703704	0.07104121475
156	0.07193906498	0.8640199304	0.9701492537	0.0704989154
157	0.07192694408	0.864094317	0.969924812	0.06995661605
158	0.07188126631	0.8642545044	0.969924812	0.06995661605
159	0.07185252017	0.8643492162	0.9705882353	0.0715835141
160	0.0718131958	0.8645379543	0.9705882353	0.0715835141
161	0.07180025251	0.8646182418	0.9705882353	0.0715835141
162	0.07170796708	0.8648165464	0.9712230216	0.07321041215
163	0.07169368001	0.8648381829	0.9712230216	0.07321041215
164	0.07169058932	0.8648428321	0.9714285714	0.0737527115
165	0.0715908271	0.8649882078	0.9785714286	0.07429501085
166	0.07156941262	0.8650671244	0.9785714286	0.07429501085
167	0.07156442988	0.8650847077	0.9787234043	0.0748373102
168	0.07132025969	0.8663466871	0.979020979	0.07592190889
169	0.07131182613	0.8663448691	0.979020979	0.07592190889
170	0.07126496046	0.8665814996	0.9791666667	0.07646420824
171	0.07125296857	0.866645664	0.986013986	0.07646420824
172	0.07123829987	0.8667014539	0.9862068966	0.07754880694
173	0.07117040136	0.8667151928	0.98	0.07971800434
174	0.07114992753	0.8667522967	0.9802631579	0.08080260304
175	0.0711444019	0.8667673171	0.9802631579	0.08080260304
176	0.07107931458	0.8671118319	0.9802631579	0.08080260304
177	0.07104644572	0.8671592772	0.9805194805	0.08188720174
178	0.07102608477	0.8672075272	0.9802631579	0.08080260304
179	0.07099494132	0.8674029708	0.9803921569	0.08134490239
180	0.07093842194	0.8675465584	0.9803921569	0.08134490239
181	0.07086991066	0.867721796	0.9803921569	0.08134490239
182	0.07085257053	0.8677968085	0.9802631579	0.08080260304
183	0.07078677369	0.8681206107	0.974025974	0.08134490239
184	0.07078230696	0.8681274056	0.974025974	0.08134490239
185	0.07074124105	0.8681944609	0.974025974	0.08134490239
186	0.07059583869	0.8691100478	0.9741935484	0.08188720174
187	0.07052973546	0.8692396581	0.9743589744	0.08242950108
188	0.07050047869	0.8692879975	0.974522293	0.08297180043
189	0.07049805988	0.8693006337	0.9746835443	0.08351409978
190	0.07047403847	0.8694657981	0.9746835443	0.08351409978
191	0.07044720588	0.8696486652	0.9746835443	0.08351409978
192	0.07040160336	0.8697682619	0.9746835443	0.08351409978
193	0.07039175614	0.8698238134	0.9746835443	0.08351409978
194	0.07031719248	0.8700219393	0.9746835443	0.08351409978
195	0.07016061524	0.8706483543	0.9751552795	0.08514099783
196	0.07012268302	0.8707354069	0.9751552795	0.08514099783
197	0.07004683471	0.8710637093	0.9754601227	0.08622559653
198	0.07003220901	0.871116519	0.9754601227	0.08622559653
199	0.06999113234	0.871294111	0.9754601227	0.08622559653
200	0.06996511139	0.8713436723	0.9754601227	0.08622559653
201	0.06996261196	0.8713461161	0.9754601227	0.08622559653
202	0.06993255429	0.8714747131	0.9756097561	0.08676789588
203	0.0698030354	0.8719406426	0.9764705882	0.09002169197
204	0.06976793587	0.8721229732	0.976744186	0.09110629067
205	0.06972194097	0.8723669052	0.9772727273	0.09327548807
206	0.06970149402	0.8724249303	0.9775280899	0.09436008677
207	0.06964949511	0.8725213408	0.9776536313	0.09490238612
208	0.06962841389	0.8726104498	0.9777777778	0.09544468547
209	0.06955555952	0.8728463352	0.978021978	0.09652928416
210	0.06953893965	0.8729055524	0.9779005525	0.09598698482
211	0.0694066257	0.8734085858	0.9782608696	0.09761388286
212	0.06930458443	0.8739315867	0.9782608696	0.09761388286
213	0.06927210258	0.8739856482	0.9784946237	0.09869848156
214	0.06926371202	0.8739786446	0.9784946237	0.09869848156
215	0.06906150001	0.8746597171	0.9787234043	0.09978308026
216	0.06904973925	0.8747267127	0.9787234043	0.09978308026
217	0.06903183473	0.8748175502	0.9787234043	0.09978308026
218	0.06898718898	0.8749665618	0.9786096257	0.09924078091
219	0.06896478548	0.8749991655	0.9789473684	0.100867679
220	0.0689227413	0.8752835989	0.9786096257	0.09924078091
221	0.06886027703	0.8754697442	0.9790575916	0.1014099783
222	0.06885620269	0.8754783869	0.9791666667	0.1019522777
223	0.06884580721	0.8754959702	0.9791666667	0.1019522777
224	0.06880659571	0.8755515218	0.9795918367	0.1041214751
225	0.06878668089	0.875577867	0.9794871795	0.1035791757
226	0.06871632595	0.8756978214	0.9800995025	0.1068329718
227	0.06869959858	0.8757623136	0.9801980198	0.1073752711
228	0.06868998786	0.8757929802	0.9801980198	0.1073752711
229	0.06867215859	0.8759270906	0.9802955665	0.1079175705
230	0.06862577668	0.875987947	0.9804878049	0.1090021692
231	0.06856744588	0.8761977255	0.9801980198	0.1073752711
232	0.0685658871	0.8761968017	0.9802955665	0.1079175705
233	0.06853013718	0.8762614429	0.985	0.1068329718
234	0.06850989448	0.8762741685	0.9801980198	0.1073752711
235	0.06846682902	0.8763965964	0.9802955665	0.1079175705
236	0.06844411914	0.8764020205	0.9802955665	0.1079175705
237	0.06839457666	0.8766002059	0.9801980198	0.1073752711
238	0.06835765496	0.8766943216	0.9805825243	0.1095444685
239	0.0683526776	0.8767310381	0.9805825243	0.1095444685
240	0.06826696057	0.8768596053	0.980861244	0.1111713666
241	0.06826428913	0.8768713176	0.980861244	0.1111713666
242	0.06809758517	0.8775031567	0.980952381	0.1117136659
243	0.06806695774	0.8775987029	0.9813084112	0.1138828633
244	0.06796930256	0.8777740598	0.9817351598	0.1165943601
245	0.0678712765	0.8781183958	0.9818181818	0.1171366594
246	0.06786845994	0.8781631291	0.9817351598	0.1165943601
247	0.06777557787	0.8785607219	0.981981982	0.1182212581
248	0.06777248718	0.878608495	0.981981982	0.1182212581
249	0.06774061272	0.8786645532	0.9820627803	0.1187635575
250	0.06773239954	0.8787048459	0.9820627803	0.1187635575
251	0.06770979716	0.8787183166	0.981981982	0.1182212581
252	0.06768702278	0.8788514137	0.9820627803	0.1187635575
253	0.0676396626	0.8791348338	0.982300885	0.1203904555
254	0.06755907343	0.8793848455	0.9822222222	0.1198481562
255	0.06734711633	0.8802102506	0.982300885	0.1203904555
256	0.06734476203	0.8802078068	0.9866666667	0.1203904555
257	0.06731673615	0.8802178502	0.9826086957	0.1225596529
258	0.06720796523	0.8805511594	0.9824561404	0.1214750542
259	0.06718012211	0.880654335	0.9826086957	0.1225596529
260	0.0671056122	0.8807192743	0.987012987	0.1236442516
261	0.06700939218	0.8809241652	0.9872340426	0.125813449
262	0.06698792933	0.8810256124	0.9872881356	0.1263557484
263	0.06697063757	0.8810441196	0.9873417722	0.1268980477
264	0.06693057143	0.8811139464	0.9875518672	0.1290672451
265	0.06683816237	0.8815227747	0.9875518672	0.1290672451
266	0.06682426769	0.881534636	0.9875	0.1285249458
267	0.0668000259	0.8816023469	0.9832635983	0.1274403471
268	0.06679709645	0.8816102147	0.9832635983	0.1274403471
269	0.06675583704	0.8816955686	0.9834024896	0.1285249458
270	0.06670557429	0.8818452358	0.9834710744	0.1290672451
271	0.06669944666	0.881844759	0.9834710744	0.1290672451
272	0.06650348054	0.8827625513	0.9836734694	0.1306941432
273	0.06644161829	0.8828474581	0.9838709677	0.1323210412
274	0.06632929979	0.8831687868	0.984	0.1334056399
275	0.06625839658	0.8834206164	0.984	0.1334056399
276	0.06622667263	0.8835267425	0.984063745	0.1339479393
277	0.06621499249	0.8835630119	0.9842519685	0.1355748373
278	0.06613957956	0.883823216	0.984496124	0.1377440347
279	0.06611715994	0.8838392496	0.9846153846	0.1388286334
280	0.06610741484	0.8838427067	0.9846743295	0.1393709328
281	0.06609919629	0.8838468194	0.9846743295	0.1393709328
282	0.06608632825	0.8838803768	0.9846743295	0.1393709328
283	0.06603979046	0.8840175867	0.9846743295	0.1393709328
284	0.0659798525	0.8844338357	0.9847328244	0.1399132321
285	0.06597567604	0.884444952	0.9847908745	0.1404555315
286	0.06586020771	0.8847980797	0.9849056604	0.1415401302
287	0.06573583282	0.885165751	0.9885931559	0.1409978308
288	0.06572682949	0.8851819038	0.9848484848	0.1409978308
289	0.06567495959	0.8852826357	0.9849056604	0.1415401302
290	0.0656173383	0.8854852319	0.9850187266	0.1426247289
291	0.06554012471	0.885763824	0.9851301115	0.1437093275
292	0.06540933192	0.8862921596	0.9889705882	0.1458785249
293	0.06540472007	0.886323601	0.9889705882	0.1458785249
294	0.06540096286	0.8863443136	0.9852941176	0.1453362256
295	0.06536835738	0.8863848746	0.9853479853	0.1458785249
296	0.06532665721	0.8865809739	0.9889298893	0.1453362256
297	0.0653176055	0.8866142333	0.9853479853	0.1458785249
298	0.0652634028	0.8866854608	0.9854545455	0.1469631236
299	0.06521298955	0.8868096173	0.9854545455	0.1469631236
300	0.06520766281	0.8868420422	0.9854545455	0.1469631236
301	0.06515355147	0.8869814575	0.9856115108	0.1485900217
302	0.06489342256	0.8881946802	0.9891304348	0.1480477223
303	0.06483727406	0.8884498775	0.9855595668	0.1480477223
304	0.06483003914	0.8884584606	0.9891696751	0.1485900217
305	0.06480336243	0.8885031641	0.9857142857	0.1496746204
306	0.06475311581	0.8887936771	0.9892857143	0.1502169197
307	0.0647346899	0.8889338672	0.9857651246	0.1502169197
308	0.06458286426	0.8894447386	0.985915493	0.1518438178
309	0.06454966215	0.8895536661	0.9859649123	0.1523861171
310	0.06443893468	0.8900241554	0.9895833333	0.1545553145
311	0.06442430898	0.8900829554	0.9895470383	0.1540130152
312	0.06441822435	0.8900922835	0.9895470383	0.1540130152
313	0.06439286453	0.8902666271	0.9895470383	0.1540130152
314	0.06436883237	0.8903435767	0.9896551724	0.1556399132
315	0.06420620813	0.8909811676	0.9896193772	0.1550976139
316	0.06420569211	0.8909851015	0.9896551724	0.1556399132
317	0.06420321956	0.8909875453	0.9896193772	0.1550976139
318	0.06417776299	0.8910354078	0.9897610922	0.1572668113
319	0.06416005735	0.8910970986	0.9897610922	0.1572668113
320	0.06411950744	0.8912214339	0.9897610922	0.1572668113
321	0.06408573019	0.8912744224	0.9897260274	0.1567245119
322	0.06408325226	0.8912624419	0.9897260274	0.1567245119
323	0.06398425868	0.8915219009	0.9898989899	0.1594360087
324	0.06398284503	0.8915291131	0.9899328859	0.159978308
325	0.0639603394	0.8916001916	0.9899665552	0.1605206074
326	0.0638828463	0.891979903	0.9867109635	0.1610629067
327	0.06380443405	0.8921086192	0.9867109635	0.1610629067
328	0.06378078353	0.8921652138	0.9867109635	0.1610629067
329	0.06372524779	0.8925142586	0.9867549669	0.1616052061
330	0.06371911478	0.8925217688	0.9867109635	0.1610629067
331	0.06367104508	0.8926427066	0.9868421053	0.1626898048
332	0.06364100354	0.8927111924	0.9901639344	0.1637744035
333	0.06357129898	0.8930284977	0.9900662252	0.1621475054
334	0.06347961557	0.8931690156	0.9901315789	0.1632321041
